#,Scenario ID,Title,Service Code,Domain,Schemas,Brief (the moment),KPI / Outcome,Featured?,Device(s)
1,rc-assortment-rationalization,Assortment rationalization,RC-E2E-03,Pricing & Revenue,,SKU-level contribution-margin analysis with delist candidate recommendations.,+2.4pp GM,Catalog,
2,rc-attribution-modeling,Attribution modeling,RC-E2E-04,Customer Experience,,"Multi-touch attribution across paid, owned, earned channels.",+22% marketing ROI,Catalog,
3,rc-backhaul-truck-loading-optimization,Backhaul-truck loading optimization,RC-E2E-06,Operations & Workforce,,Route-aware backhaul load planning to reduce empty miles.,+12% backhaul utilization,Catalog,
4,rc-brand-equity-social-signal-tracking,Brand-equity social-signal tracking,RC-E2E-04,Customer Experience,,Cross-platform brand-sentiment and share-of-voice tracking.,+6pt brand score,Catalog,
5,rc-brand-health-sentiment-tracking,Brand-health sentiment tracking,RC-E2E-04,Customer Experience,,Cross-channel brand-health and competitive sentiment tracking.,+7pt NPS,Catalog,
6,rc-bundle-pricing-optimization,Bundle pricing optimization,RC-E2E-03,Pricing & Revenue,,Dynamic bundling propositions based on basket-affinity and margin targets.,+8% attach rate,Catalog,
7,rc-buy-online-pickup-in-store-orchestration,Buy-online-pickup-in-store orchestration,RC-E2E-06,Operations & Workforce,,"BOPIS order batching, staging, and customer-communication timing.",−42% wait time,Catalog,
8,rc-cart-abandonment-recovery,Cart-abandonment recovery,RC-E2E-04,Customer Experience,,Triggered recovery with dynamic incentive depth.,+18% recovery rate,Catalog,
9,rc-category-role-clustering,Category role-clustering,RC-E2E-04,Customer Experience,,Traffic-builder vs destination-category classification per store archetype.,+3pp category share,Catalog,
10,rc-chatbot-deflection-from-call-center,Chatbot deflection from call center,RC-E2E-04,Customer Experience,,Intent-classification chatbot reducing low-complexity call volume.,−34% call volume,Catalog,
11,rc-cleaning-crew-routing-optimization,Cleaning-crew routing optimization,RC-E2E-05,Operations & Workforce,,Dynamic cleaning-task routing based on traffic patterns and incident history.,−24% labor hours,Catalog,Vision AI Dev Kit · floor traffic + spill detection
12,rc-cold-chain-excursion-mid-shift,Cold-chain excursion mid-shift,RC-E2E-03,Pricing & Revenue,,"Refrigerated case exceeds temp threshold; operator must decide sell-through, mark down, or destroy.",−18% shrink,⭐ Featured,
13,rc-competitive-price-response,Competitive price-response,RC-E2E-03,Pricing & Revenue,,Monitored competitor moves with rule-based and elasticity-aware response.,+1.9pp GM,Catalog,
14,rc-competitive-opening-impact-analysis,Competitive-opening impact analysis,RC-E2E-03,Pricing & Revenue,,Cannibalization and market-defense planning for competitor new stores.,−41% comp-store loss,Catalog,
15,rc-creative-effectiveness-analysis,Creative-effectiveness analysis,RC-E2E-04,Customer Experience,,Pre-flight creative-performance prediction using historical analogs.,+14% campaign lift,Catalog,
16,rc-cross-channel-identity-resolution,Cross-channel identity resolution,RC-E2E-04,Customer Experience,,"Unified customer profile across POS, e-comm, app, service.",+24% match rate,Catalog,
17,rc-cross-dock-opportunity-identification,Cross-dock opportunity identification,RC-E2E-06,Operations & Workforce,,Freight-profile classification for direct-to-store bypass opportunities.,−8% DC touches,Catalog,
18,rc-customer-acquisition-cost-optimization,Customer-acquisition-cost optimization,RC-E2E-04,Customer Experience,,Channel-level CAC with LTV-adjusted allocation.,−18% CAC,Catalog,
19,rc-customer-lifetime-value-modeling,Customer-lifetime-value modeling,RC-E2E-04,Customer Experience,,Predictive LTV with churn-adjusted retention economics.,+14% marketing ROAS,Catalog,
20,rc-customer-service-sentiment-analysis,Customer-service sentiment analysis,RC-E2E-04,Customer Experience,,Multi-channel sentiment with escalation-risk scoring.,−22% escalations,Catalog,
21,rc-customer-wait-time-prediction-at-checkout,Customer-wait-time prediction at checkout,RC-E2E-05,Operations & Workforce,,Open-register decisioning based on queue-length prediction 15 minutes ahead.,−41% wait time,Catalog,Vision AI Dev Kit · queue-length person count
22,rc-dc-inventory-position-optimization,DC-inventory-position optimization,RC-E2E-06,Operations & Workforce,,Network-level inventory rebalance across DCs and forward stocking locations.,−12% safety stock,Catalog,
23,rc-delivery-slot-optimization,Delivery-slot optimization,RC-E2E-06,Operations & Workforce,,Dynamic delivery-slot pricing and capacity management.,+22% slot utilization,Catalog,
24,rc-direct-to-consumer-churn-analytics,Direct-to-consumer churn analytics,RC-E2E-04,Customer Experience,,DTC subscription churn and winback for manufacturer brands.,−19% DTC churn,Catalog,
25,rc-dock-scheduling-optimization,Dock-scheduling optimization,RC-E2E-06,Operations & Workforce,,Appointment-aware yard and dock door scheduling.,+22% dock throughput,Catalog,
26,rc-dressing-room-throughput-optimization,Dressing-room throughput optimization,RC-E2E-05,Operations & Workforce,,Staff allocation based on fitting-room occupancy and conversion signals.,+12% conversion,Catalog,Vision AI Dev Kit · fitting room occupancy
27,rc-dynamic-markdown-optimization,Dynamic markdown optimization,RC-E2E-03,Pricing & Revenue,,Per-SKU-per-store markdown cadence balancing margin and aged-stock cost.,+3.2pp GM,⭐ Featured,
28,rc-dynamic-shipping-cost-calculation,Dynamic shipping-cost calculation,RC-E2E-06,Operations & Workforce,,Zone-and-product-aware real-time shipping economics.,+2.1pp margin,Catalog,
29,rc-e-commerce-fraud-detection,E-commerce fraud detection,RC-E2E-07,Risk · Fraud · Security,,Graph-based first-party and promo fraud detection.,−52% e-comm fraud,Catalog,
30,rc-email-subject-line-optimization,Email subject-line optimization,RC-E2E-04,Customer Experience,,Generative subject-line variants with predicted open-rate scoring.,+14% open rate,Catalog,
31,rc-end-cap-display-roi,End-cap / display ROI,RC-E2E-03,Pricing & Revenue,,Post-hoc attribution of display-driven sales lift with halo adjustment.,+22% display ROI,Catalog,Vision AI Dev Kit · end-cap dwell-time attribution
32,rc-end-cap-display-roi-tracking,End-cap display ROI tracking,RC-E2E-03,Pricing & Revenue,,Real-time effectiveness scoring for end-cap promotional displays.,+22% end-cap lift,Catalog,Vision AI Dev Kit · end-cap dwell + engagement signal
